,is_phishing,is_safe,suspicious_words_subject,suspicious_words_body,sender_nums_count,sender_domain_num_count,sender_domain_length,urls_count,protocol,contains_ip,url_length,TLD_alpha,subdomain_level,slash_count,dots_count,hyphens_count,has_non_latin
94,1.0,0.0,0.0,4.0,0.0,12.0,27.0,3.0,0.0,0.0,60.0,1.0,1.0,6.0,4.0,0.0,0.0
95,0.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,74.0,1.0,1.0,6.0,3.0,2.0,0.0
97,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,29.0,1.0,1.0,4.0,2.0,0.0,0.0
100,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,136.0,1.0,2.0,4.0,4.0,2.0,0.0
101,0.0,1.0,1.0,8.0,0.0,0.0,20.0,3.0,1.0,0.0,101.0,1.0,3.0,6.0,5.0,1.0,0.0
103,1.0,0.0,1.0,4.0,3.0,0.0,13.0,2.0,0.0,0.0,23.0,1.0,1.0,0.0,2.0,0.0,0.0
104,1.0,0.0,0.0,4.0,4.0,3.0,10.0,3.0,0.0,0.0,76.0,1.0,1.0,6.0,5.0,0.0,0.0
105,1.0,0.0,0.0,4.0,4.0,0.0,10.0,3.0,0.0,0.0,110.0,1.0,1.0,6.0,5.0,0.0,0.0
106,1.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0
108,1.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0
109,0.0,1.0,0.0,11.0,0.0,0.0,15.0,3.0,0.0,0.0,79.0,1.0,1.0,3.0,3.0,0.0,0.0
110,1.0,0.0,0.0,4.0,4.0,0.0,13.0,3.0,0.0,0.0,107.0,1.0,1.0,6.0,5.0,0.0,0.0
112,1.0,0.0,0.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
113,1.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,1.0,0.0,0.0
114,1.0,0.0,0.0,4.0,4.0,0.0,17.0,3.0,0.0,0.0,109.0,1.0,1.0,6.0,5.0,0.0,0.0
115,0.0,1.0,0.0,2.0,0.0,0.0,11.0,3.0,0.0,0.0,50.0,1.0,1.0,5.0,2.0,1.0,0.0
116,1.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,28.0,1.0,0.0,2.0,1.0,0.0,0.0
117,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,1.0,0.0,0.0
118,0.0,1.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,54.0,1.0,2.0,5.0,3.0,0.0,0.0
120,1.0,0.0,0.0,4.0,4.0,0.0,15.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
121,0.0,1.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,45.0,1.0,0.0,5.0,1.0,0.0,0.0
123,0.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,235.0,1.0,1.0,6.0,5.0,0.0,0.0
124,0.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,53.0,1.0,1.0,5.0,2.0,1.0,0.0
129,1.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,76.0,1.0,1.0,6.0,5.0,0.0,0.0
131,0.0,1.0,0.0,4.0,0.0,0.0,11.0,3.0,0.0,0.0,56.0,1.0,1.0,6.0,2.0,0.0,0.0
133,1.0,0.0,0.0,4.0,0.0,11.0,21.0,3.0,0.0,0.0,31.0,1.0,1.0,3.0,3.0,0.0,0.0
134,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,50.0,1.0,2.0,3.0,4.0,0.0,0.0
135,1.0,0.0,0.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,114.0,1.0,1.0,6.0,5.0,0.0,0.0
136,0.0,1.0,1.0,11.0,0.0,0.0,11.0,3.0,0.0,0.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0
137,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0
138,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,23.0,1.0,1.0,2.0,2.0,0.0,0.0
139,1.0,0.0,0.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,0.0,0.0
141,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
142,1.0,0.0,0.0,4.0,0.0,1.0,17.0,3.0,0.0,0.0,103.0,1.0,1.0,6.0,5.0,0.0,0.0
143,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
144,0.0,1.0,0.0,6.0,0.0,0.0,12.0,3.0,0.0,0.0,45.0,1.0,1.0,4.0,3.0,0.0,0.0
145,0.0,1.0,0.0,2.0,0.0,0.0,12.0,3.0,0.0,0.0,82.0,1.0,1.0,6.0,5.0,1.0,0.0
149,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,53.0,1.0,1.0,5.0,2.0,1.0,0.0
151,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,34.0,0.0,2.0,4.0,4.0,0.0,0.0
152,0.0,1.0,0.0,5.0,0.0,0.0,11.0,3.0,0.0,0.0,19.0,1.0,1.0,0.0,2.0,0.0,0.0
153,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
155,1.0,0.0,4.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,30.0,1.0,0.0,2.0,1.0,0.0,0.0
156,1.0,0.0,0.0,4.0,4.0,0.0,17.0,3.0,0.0,0.0,100.0,1.0,1.0,6.0,5.0,0.0,0.0
157,1.0,0.0,0.0,4.0,0.0,0.0,17.0,3.0,0.0,0.0,63.0,1.0,1.0,6.0,4.0,0.0,0.0
158,1.0,0.0,0.0,4.0,1.0,0.0,8.0,3.0,0.0,0.0,31.0,1.0,1.0,3.0,3.0,0.0,0.0
162,0.0,1.0,0.0,1.0,0.0,0.0,16.0,3.0,0.0,0.0,31.0,1.0,1.0,2.0,2.0,1.0,0.0
164,0.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,45.0,1.0,0.0,5.0,1.0,0.0,0.0
166,0.0,1.0,0.0,4.0,0.0,0.0,11.0,2.0,1.0,0.0,83.0,1.0,0.0,4.0,1.0,0.0,0.0
167,0.0,1.0,0.0,11.0,0.0,0.0,11.0,2.0,0.0,0.0,59.0,1.0,1.0,6.0,3.0,0.0,0.0
168,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
170,1.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,42.0,1.0,1.0,4.0,3.0,0.0,0.0
171,0.0,1.0,1.0,7.0,0.0,1.0,20.0,3.0,0.0,0.0,86.0,1.0,1.0,4.0,3.0,1.0,0.0
172,1.0,0.0,0.0,4.0,4.0,0.0,8.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
173,1.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
174,1.0,0.0,2.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,19.0,1.0,0.0,2.0,1.0,0.0,0.0
175,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
176,1.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,23.0,1.0,0.0,3.0,1.0,0.0,0.0
177,1.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
178,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,33.0,1.0,1.0,3.0,2.0,0.0,0.0
180,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
181,1.0,0.0,0.0,4.0,4.0,0.0,17.0,3.0,0.0,0.0,63.0,1.0,1.0,6.0,4.0,0.0,0.0
183,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
184,1.0,0.0,0.0,4.0,4.0,0.0,10.0,3.0,0.0,0.0,110.0,1.0,1.0,6.0,5.0,0.0,0.0
187,0.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,58.0,1.0,1.0,4.0,3.0,0.0,0.0
189,0.0,1.0,1.0,4.0,0.0,0.0,12.0,2.0,0.0,0.0,82.0,1.0,0.0,4.0,4.0,0.0,0.0
190,0.0,1.0,0.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,51.0,1.0,1.0,4.0,3.0,0.0,0.0
191,0.0,1.0,0.0,7.0,0.0,0.0,11.0,3.0,0.0,0.0,74.0,1.0,1.0,4.0,2.0,0.0,0.0
192,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,22.0,1.0,0.0,2.0,1.0,0.0,0.0
194,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
195,1.0,0.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,1.0,0.0,0.0
196,1.0,0.0,0.0,4.0,4.0,0.0,10.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
197,1.0,0.0,0.0,4.0,0.0,2.0,15.0,3.0,0.0,0.0,113.0,1.0,1.0,6.0,5.0,0.0,0.0
199,1.0,0.0,0.0,4.0,4.0,0.0,9.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
200,1.0,0.0,0.0,4.0,4.0,0.0,19.0,3.0,0.0,0.0,100.0,1.0,1.0,6.0,5.0,0.0,0.0
203,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
204,1.0,0.0,0.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,25.0,1.0,1.0,2.0,2.0,0.0,0.0
205,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,34.0,1.0,0.0,4.0,1.0,1.0,0.0
206,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
207,0.0,1.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,45.0,1.0,2.0,3.0,4.0,0.0,0.0
209,0.0,1.0,0.0,7.0,0.0,0.0,5.0,3.0,0.0,0.0,36.0,1.0,1.0,3.0,2.0,1.0,0.0
211,0.0,1.0,1.0,6.0,0.0,0.0,12.0,3.0,0.0,0.0,47.0,1.0,1.0,4.0,3.0,1.0,0.0
212,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
213,0.0,1.0,1.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,50.0,1.0,1.0,3.0,5.0,0.0,0.0
214,1.0,0.0,0.0,4.0,4.0,0.0,17.0,3.0,0.0,0.0,113.0,1.0,1.0,6.0,5.0,0.0,0.0
215,0.0,1.0,1.0,7.0,0.0,0.0,11.0,3.0,0.0,0.0,58.0,1.0,1.0,6.0,2.0,0.0,0.0
217,0.0,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,57.0,1.0,1.0,5.0,2.0,1.0,0.0
218,1.0,0.0,0.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,69.0,1.0,1.0,6.0,4.0,0.0,0.0
219,1.0,0.0,0.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,99.0,1.0,1.0,4.0,4.0,2.0,0.0
220,0.0,1.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,81.0,1.0,1.0,6.0,4.0,2.0,0.0
221,1.0,0.0,0.0,4.0,4.0,0.0,11.0,3.0,0.0,0.0,107.0,1.0,1.0,6.0,5.0,0.0,0.0
222,1.0,0.0,0.0,4.0,0.0,0.0,11.0,3.0,0.0,0.0,109.0,1.0,1.0,6.0,5.0,0.0,0.0
223,1.0,0.0,0.0,4.0,0.0,2.0,6.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
224,1.0,0.0,0.0,4.0,4.0,2.0,14.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,5.0,0.0,0.0
225,1.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,99.0,1.0,1.0,4.0,4.0,2.0,0.0
226,0.0,1.0,0.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,43.0,1.0,1.0,5.0,3.0,0.0,0.0
227,1.0,0.0,0.0,0.0,4.0,2.0,16.0,1.0,0.0,0.0,23.0,1.0,1.0,2.0,2.0,0.0,0.0
228,1.0,0.0,0.0,4.0,0.0,2.0,19.0,3.0,0.0,0.0,40.0,1.0,1.0,4.0,4.0,0.0,0.0
230,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,74.0,1.0,1.0,6.0,3.0,2.0,0.0
231,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
232,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
233,1.0,0.0,0.0,4.0,4.0,0.0,9.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
235,1.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,40.0,1.0,1.0,4.0,4.0,0.0,0.0
236,0.0,1.0,1.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,82.0,1.0,0.0,4.0,4.0,0.0,0.0
237,1.0,0.0,0.0,4.0,0.0,2.0,6.0,3.0,0.0,0.0,73.0,1.0,1.0,4.0,4.0,2.0,0.0
238,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
239,1.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,103.0,1.0,1.0,6.0,5.0,0.0,0.0
240,1.0,0.0,0.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,69.0,1.0,1.0,6.0,4.0,0.0,0.0
241,0.0,1.0,1.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,30.0,1.0,2.0,3.0,3.0,0.0,0.0
242,0.0,1.0,1.0,6.0,0.0,0.0,15.0,3.0,0.0,0.0,88.0,1.0,1.0,5.0,3.0,0.0,0.0
243,0.0,1.0,1.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,60.0,1.0,1.0,4.0,2.0,0.0,0.0
245,0.0,1.0,0.0,2.0,0.0,0.0,11.0,3.0,0.0,0.0,34.0,1.0,3.0,4.0,4.0,0.0,0.0
246,1.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,103.0,1.0,1.0,6.0,5.0,0.0,0.0
248,1.0,0.0,0.0,4.0,4.0,0.0,10.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,5.0,0.0,0.0
249,1.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,0.0,0.0,31.0,1.0,1.0,3.0,3.0,0.0,0.0
250,1.0,0.0,0.0,4.0,0.0,0.0,17.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
251,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,1.0,1.0,6.0,2.0,2.0,0.0
252,1.0,0.0,0.0,4.0,5.0,0.0,8.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
253,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,25.0,1.0,1.0,2.0,2.0,0.0,0.0
254,1.0,0.0,0.0,4.0,0.0,0.0,12.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
256,1.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,99.0,1.0,1.0,4.0,4.0,2.0,0.0
257,1.0,0.0,0.0,4.0,0.0,0.0,11.0,3.0,0.0,0.0,69.0,1.0,1.0,6.0,4.0,0.0,0.0
258,1.0,0.0,0.0,4.0,4.0,0.0,7.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
259,1.0,0.0,0.0,4.0,4.0,0.0,8.0,3.0,0.0,0.0,40.0,1.0,1.0,4.0,4.0,0.0,0.0
260,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
261,1.0,0.0,0.0,4.0,0.0,2.0,8.0,3.0,0.0,0.0,63.0,1.0,1.0,6.0,4.0,0.0,0.0
262,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,22.0,1.0,0.0,3.0,1.0,0.0,0.0
263,1.0,0.0,0.0,4.0,4.0,0.0,14.0,3.0,0.0,0.0,59.0,1.0,1.0,6.0,4.0,0.0,0.0
264,1.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
265,1.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,28.0,1.0,1.0,4.0,2.0,0.0,0.0
266,1.0,0.0,0.0,4.0,4.0,3.0,10.0,3.0,0.0,0.0,31.0,1.0,1.0,3.0,3.0,0.0,0.0
272,0.0,1.0,0.0,8.0,0.0,0.0,6.0,3.0,0.0,0.0,152.0,1.0,1.0,3.0,2.0,0.0,0.0
